,Symbol,Buy/Sell,Entry,Entry Date,Exit,Exit Date,maxx_possible,P/L,Return
0,^NSEBANK,Buy,43456.6015625,2022-12-21 10:05:00+05:30,43406.6015625,2022-12-21 10:20:00+05:30,,-50.0,-50.0
1,^NSEBANK,Buy,43341.25,2022-12-21 10:30:00+05:30,43291.25,2022-12-21 10:35:00+05:30,36.5,-50.0,-100.0
2,^NSEBANK,Buy,43295.1015625,2022-12-21 11:05:00+05:30,43245.1015625,2022-12-21 12:10:00+05:30,0.0,-50.0,-150.0
3,^NSEBANK,Buy,43156.6484375,2022-12-21 12:25:00+05:30,43106.6484375,2022-12-21 12:30:00+05:30,97.59765625,-50.0,-200.0
4,^NSEBANK,Buy,43111.5,2022-12-21 12:40:00+05:30,43061.5,2022-12-21 12:45:00+05:30,0.0,-50.0,-250.0
5,^NSEBANK,Buy,43056.44921875,2022-12-21 13:00:00+05:30,43006.44921875,2022-12-21 13:20:00+05:30,2.30078125,-50.0,-300.0
6,^NSEBANK,Buy,43001.3515625,2022-12-21 13:35:00+05:30,42951.3515625,2022-12-21 13:50:00+05:30,85.19921875,-50.0,-350.0
7,^NSEBANK,Buy,42684.3515625,2022-12-21 14:05:00+05:30,42634.3515625,2022-12-21 14:15:00+05:30,13.94921875,-50.0,-400.0
8,^NSEBANK,Sell,42835.6015625,2022-12-21 14:45:00+05:30,42885.6015625,2022-12-21 14:50:00+05:30,120.546875,-50.0,-450.0
9,^NSEBANK,Buy,42659.5,2022-12-21 15:10:00+05:30,42609.5,2022-12-21 15:15:00+05:30,4.6015625,-50.0,-500.0
10,^NSEBANK,Sell,42743.1484375,2022-12-22 09:20:00+05:30,42443.1484375,2022-12-22 10:10:00+05:30,0.0,300.0,-200.0
11,^NSEBANK,Buy,42442.55078125,2022-12-22 10:30:00+05:30,42392.55078125,2022-12-22 10:35:00+05:30,309.19921875,-50.0,-250.0
12,^NSEBANK,Sell,42492.6484375,2022-12-22 11:25:00+05:30,42542.6484375,2022-12-22 14:05:00+05:30,0.0,-50.0,-300.0
13,^NSEBANK,Sell,42577.94921875,2022-12-22 14:25:00+05:30,42277.94921875,2022-12-23 09:15:00+05:30,258.75,300.0,0.0
14,^NSEBANK,Buy,42042.05078125,2022-12-23 09:30:00+05:30,41992.05078125,2022-12-23 09:45:00+05:30,626.59765625,-50.0,-50.0
15,^NSEBANK,Buy,41941.25,2022-12-23 10:05:00+05:30,41891.25,2022-12-23 10:15:00+05:30,39.94921875,-50.0,-100.0
16,^NSEBANK,Buy,41890.69921875,2022-12-23 10:25:00+05:30,41840.69921875,2022-12-23 11:45:00+05:30,0.0,-50.0,-150.0
17,^NSEBANK,Buy,41850.30078125,2022-12-23 11:55:00+05:30,41800.30078125,2022-12-23 13:00:00+05:30,106.40234375,-50.0,-200.0
18,^NSEBANK,Sell,41866.3515625,2022-12-23 13:15:00+05:30,41916.3515625,2022-12-26 09:25:00+05:30,79.34765625,-50.0,-250.0
19,^NSEBANK,Sell,42090.5,2022-12-26 09:55:00+05:30,42140.5,2022-12-26 10:05:00+05:30,294.40234375,-50.0,-300.0
20,^NSEBANK,Sell,42129.44921875,2022-12-26 10:15:00+05:30,42179.44921875,2022-12-26 11:30:00+05:30,30.1015625,-50.0,-350.0
21,^NSEBANK,Sell,42278.0,2022-12-26 12:00:00+05:30,42328.0,2022-12-26 12:10:00+05:30,56.09765625,-50.0,-400.0
22,^NSEBANK,Sell,42317.3515625,2022-12-26 12:20:00+05:30,42367.3515625,2022-12-26 13:30:00+05:30,0.0,-50.0,-450.0
23,^NSEBANK,Sell,42386.94921875,2022-12-26 13:40:00+05:30,42436.94921875,2022-12-26 14:05:00+05:30,88.453125,-50.0,-500.0
24,^NSEBANK,Sell,42724.0,2022-12-26 14:45:00+05:30,42774.0,2022-12-26 14:50:00+05:30,32.75,-50.0,-550.0
25,^NSEBANK,Buy,42625.44921875,2022-12-26 15:20:00+05:30,42575.44921875,2022-12-27 09:30:00+05:30,0.0,-50.0,-600.0
26,^NSEBANK,Buy,42567.5,2022-12-27 09:40:00+05:30,42517.5,2022-12-27 09:45:00+05:30,293.0,-50.0,-650.0
27,^NSEBANK,Buy,42490.80078125,2022-12-27 09:55:00+05:30,42440.80078125,2022-12-27 10:00:00+05:30,0.0,-50.0,-700.0
